SR_VILLAGE,ROUND_NO,SCHEDULE_NO,SAMPLE,SECTOR,STATE_REGION,DISTRICT_CD,STRATUM_NO,SUB_STRAT_NO,SUB_ROUND_NO,SUB_SAMPLE_NO,FOD,HG_SB_NO,SSS_NO,SAMPLE_HH_NO,SR_NO_INFORMANT,RESPONSE_CODE,SURVEY_CD,REASON_CD,SRL_NO,ELE_NO,BLK,ROUND,ID_KEY
43804,71,252,2,2,274,15,49,1,2,2,0,1,2,1,1,1,1,,1,1,1,71,970960
43804,71,252,2,2,274,15,49,1,2,2,0,1,2,2,2,1,1,,1,1,1,71,970961
43804,71,252,2,2,274,15,49,1,2,2,0,1,2,3,1,1,1,,1,1,1,71,970962
43804,71,252,2,2,274,15,49,1,2,2,0,1,2,4,2,1,1,,1,1,1,71,970963
43557,71,252,2,2,274,19,52,2,1,1,0,1,3,2,1,1,1,,1,1,1,71,970964
34380,71,252,2,1,274,18,18,3,1,2,0,1,2,2,2,1,1,,1,1,1,71,970965
34380,71,252,2,1,274,18,18,3,1,2,0,1,3,1,1,1,1,,1,1,1,71,970966
34380,71,252,2,1,274,18,18,3,1,2,0,2,2,1,1,1,1,,1,1,1,71,970968
34380,71,252,2,1,274,18,18,3,1,2,0,2,3,1,2,1,1,,1,1,1,71,970969
34550,71,252,2,1,274,18,18,3,2,1,0,2,3,1,2,1,1,,1,1,1,71,970970
34550,71,252,2,1,274,18,18,3,2,1,0,1,3,1,99,1,1,,1,1,1,71,970971
34550,71,252,2,1,274,18,18,3,2,1,0,1,2,1,3,1,1,,1,1,1,71,970972
43748,71,252,2,2,271,24,24,1,2,2,0,1,2,3,2,1,1,,1,1,1,71,974070
43748,71,252,2,2,271,24,24,1,2,2,0,1,2,4,1,1,1,,1,1,1,71,974071
43748,71,252,2,2,271,24,24,1,2,2,0,1,3,1,1,1,1,,1,1,1,71,974072
34629,71,252,2,1,271,33,33,2,2,2,0,1,1,1,2,1,1,,1,1,1,71,974074
43598,71,252,2,2,271,21,60,1,1,1,0,1,3,2,1,1,1,,1,1,1,71,974091
43652,71,252,2,2,271,24,64,1,1,2,0,1,1,1,2,1,1,,1,1,1,71,974092
34629,71,252,2,1,271,33,33,2,2,2,0,1,2,1,2,1,1,,1,1,1,71,974075
34629,71,252,2,1,271,33,33,2,2,2,0,1,2,2,2,1,1,,1,1,1,71,974076
34629,71,252,2,1,271,33,33,2,2,2,0,1,3,1,2,1,1,,1,1,1,71,974077
34629,71,252,2,1,271,33,33,2,2,2,0,2,1,1,1,1,1,,1,1,1,71,974078
34629,71,252,2,1,271,33,33,2,2,2,0,2,2,1,1,1,1,,1,1,1,71,974079
43594,71,252,2,2,271,21,59,2,1,2,0,1,1,1,1,1,1,,1,1,1,71,974080
43594,71,252,2,2,271,21,59,2,1,2,0,1,1,2,1,1,1,,1,1,1,71,974081
43594,71,252,2,2,271,21,59,2,1,2,0,1,2,1,2,1,1,,1,1,1,71,974082
43594,71,252,2,2,271,21,59,2,1,2,0,1,2,2,2,1,1,,1,1,1,71,974083
43594,71,252,2,2,271,21,59,2,1,2,0,1,2,4,2,1,1,,1,1,1,71,974085
43594,71,252,2,2,271,21,59,2,1,2,0,1,3,1,2,1,1,,1,1,1,71,974086
43594,71,252,2,2,271,21,59,2,1,2,0,1,3,2,1,1,1,,1,1,1,71,974087
43835,71,252,2,2,271,21,57,3,2,1,0,1,1,1,2,1,1,,1,1,1,71,974088
43835,71,252,2,2,271,21,57,3,2,1,0,1,1,2,2,1,1,,1,1,1,71,974089
43598,71,252,2,2,271,21,60,1,1,1,0,1,3,1,2,1,1,,1,1,1,71,974090
43652,71,252,2,2,271,24,64,1,1,2,0,1,2,1,1,1,1,,1,1,1,71,974093
